timestamp,mode,episode,state,action,reward,cpu_usage_pct,mem_usage_mb,latency_ms,error_rate_pct,cpu_limit_applied,mem_limit_applied,baseline_cpu_pct,baseline_mem_mb,baseline_latency_ms
2026-04-05T14:44:27.981336,train,1,0|0|0|0,0,-0.2971,1.76,40.77,20.97,0.0000,1.00,256,1.60,38.70,14.94
2026-04-05T14:44:43.145530,train,2,0|0|0|0,4,-0.2892,1.67,41.13,20.49,0.0000,1.00,240,1.64,38.65,15.03
2026-04-05T14:44:58.293100,train,3,0|0|0|0,2,-0.2826,1.65,40.65,22.73,0.0000,0.95,240,1.58,38.63,16.13
2026-04-05T14:45:13.420933,train,4,0|0|0|0,6,-0.2710,2.04,41.01,23.43,0.0000,0.90,224,1.58,38.71,16.88
2026-04-05T14:45:28.519139,train,5,0|0|0|0,8,-0.2432,2.04,41.40,23.76,0.0000,0.80,192,1.63,38.75,17.53
2026-04-05T14:45:43.632805,train,6,0|1|0|0,8,-0.2145,2.03,40.89,22.83,0.0000,0.70,160,1.68,38.79,18.73
2026-04-05T14:45:58.714606,train,7,0|1|0|0,0,-0.2133,1.75,41.23,22.55,0.0000,0.70,160,1.69,38.84,19.36
2026-04-05T14:46:13.769843,train,8,0|1|0|0,2,-0.2080,1.83,41.57,24.19,0.0000,0.70,160,1.72,38.96,19.34
2026-04-05T14:46:28.899216,train,9,0|1|0|0,4,-0.2003,1.90,41.10,26.23,0.0000,0.65,144,1.73,39.00,18.76
2026-04-05T14:46:43.962007,train,10,0|1|0|0,6,-0.1869,1.90,41.70,27.63,0.0000,0.60,128,1.66,38.98,18.04
2026-04-05T14:46:59.052504,train,11,0|1|0|0,8,-0.1579,1.81,41.80,22.71,0.0000,0.50,96,1.62,39.05,17.51
2026-04-05T14:47:14.175908,train,12,0|2|0|0,8,-0.1289,1.77,41.39,20.13,0.0000,0.40,64,1.59,39.23,17.37
2026-04-05T14:47:29.349654,train,13,0|3|0|0,2,-0.1229,1.77,41.05,24.53,0.0000,0.35,64,1.58,39.31,17.47
2026-04-05T14:47:44.468697,train,14,0|3|0|0,0,-0.1246,1.93,41.41,30.77,0.0000,0.35,64,1.59,39.29,17.87
2026-04-05T14:47:59.541038,train,15,0|3|0|0,2,-0.1208,2.02,42.04,44.92,0.0000,0.35,64,1.59,39.35,18.04
