timestamp,mode,episode,state,action,reward,cpu_usage_pct,mem_usage_mb,latency_ms,error_rate_pct,cpu_limit_applied,mem_limit_applied,baseline_cpu_pct,baseline_mem_mb,baseline_latency_ms
2026-04-05T14:48:16.545117,train,1,0|0|0|0,8,-0.2718,1.77,41.29,43.50,0.0000,0.90,224,1.57,39.43,16.88
2026-04-05T14:48:31.631116,train,2,0|0|0|0,8,-0.2429,1.57,41.67,43.14,0.0000,0.80,192,1.57,39.39,17.82
2026-04-05T14:48:46.740798,train,3,0|1|0|0,8,-0.2138,1.53,42.01,31.61,0.0000,0.70,160,1.49,39.46,17.67
2026-04-05T14:49:01.837796,train,4,0|1|0|0,0,-0.2131,1.65,41.80,21.05,0.0000,0.70,160,1.47,39.53,17.85
2026-04-05T14:49:16.909294,train,5,0|1|0|0,2,-0.2077,1.76,41.91,22.82,0.0000,0.70,160,1.42,39.65,17.80
2026-04-05T14:49:32.035775,train,6,0|1|0|0,4,-0.1996,1.68,42.27,21.01,0.0000,0.65,144,1.38,39.68,17.87
2026-04-05T14:49:47.170581,train,7,0|1|0|0,6,-0.1852,1.70,41.76,20.71,0.0000,0.60,128,1.33,39.71,17.20
2026-04-05T14:50:04.198355,train,8,0|1|0|0,6,-0.1706,1.57,42.12,18.24,0.0000,0.55,112,1.33,39.69,16.90
2026-04-05T14:50:20.722972,train,9,0|2|0|0,8,-0.1488,2.36,42.08,40.91,0.0000,0.45,80,1.31,39.71,16.52
2026-04-05T14:50:36.127687,train,10,0|2|0|0,0,-0.1486,2.28,42.42,40.58,0.0000,0.45,80,1.53,39.64,16.83
2026-04-05T14:50:51.330293,train,11,0|2|0|0,2,-0.1431,2.37,41.91,47.33,0.0000,0.45,80,1.76,39.74,17.82
2026-04-05T14:51:06.452890,train,12,0|2|0|0,2,-0.1313,1.60,42.29,29.87,0.0000,0.35,80,1.95,39.77,18.97
2026-04-05T14:51:21.600314,train,13,0|2|0|0,4,-0.1234,1.55,41.79,37.16,0.0000,0.35,64,2.00,39.94,19.45
2026-04-05T14:51:36.689048,train,14,0|3|0|0,0,-0.1240,1.54,42.39,36.72,0.0000,0.35,64,1.99,39.95,19.25
2026-04-05T14:51:51.763565,train,15,0|3|0|0,2,-0.1154,1.18,42.81,28.17,0.0000,0.35,64,1.77,39.96,17.90
